  f [deg]    |  lam [deg]   |  h [m] 
52.0972722184, 21.0315333328, 141.3985972106
52.0972721611, 21.0315331442, 141.3997593401
52.0972721204, 21.0315329557, 141.4032886326
52.0972720852, 21.0315327671, 141.4076069808
52.0972720860, 21.0315332281, 141.4100651816
52.0972721189, 21.0315331778, 141.4021457555
52.0972720690, 21.0315329976, 141.4064689158
52.0972720606, 21.0315328059, 141.4109981069
52.0972721191, 21.0315332542, 141.4071981888
52.0972721355, 21.0315331778, 141.4045129213
52.0972721009, 21.0315333223, 141.4075114792
52.0972721532, 21.0315331830, 141.4055176312
